genome_id,source
GCF_030408455.1,ncbi
GCF_000739455.1,ncbi
GCF_030408715.1,ncbi
GCF_030408575.1,ncbi
GCF_030408775.1,ncbi
GCF_900637605.1,ncbi
GCF_018286655.1,ncbi
GCF_002847425.1,ncbi
GCF_013046805.1,ncbi
GCF_001447865.2,ncbi
GCF_001643035.1,ncbi
GCF_001936195.1,ncbi
GCF_013014885.1,ncbi
GCF_002220135.1,ncbi
GCF_002163915.1,ncbi
GCF_029674605.1,ncbi
GCF_002355675.1,ncbi
GCF_001687645.1,ncbi
GCF_018884245.1,ncbi
GCF_001518935.2,ncbi
GCF_000828015.1,ncbi
GCF_019551735.1,ncbi
GCF_000742715.1,ncbi
GCF_007833335.1,ncbi
GCF_007833315.1,ncbi
GCF_000742735.1,ncbi
GCF_007431185.1,ncbi
GCF_007430945.1,ncbi
GCF_017579845.1,ncbi
GCF_019504365.1,ncbi
GCF_002277975.1,ncbi
GCF_000196335.1,ncbi
GCF_000010225.1,ncbi
GCF_000404145.1,ncbi
GCF_001683115.1,ncbi
GCF_002243555.1,ncbi
GCF_000445015.1,ncbi
GCF_021560255.1,ncbi
GCF_003194045.1,ncbi
GCF_021560235.1,ncbi
GCF_021560275.1,ncbi
GCF_900638705.1,ncbi
GCF_004758745.1,ncbi
GCF_020736105.1,ncbi
GCF_002073375.2,ncbi
GCF_021560315.1,ncbi
GCF_021560335.1,ncbi
GCF_001902275.1,ncbi
GCF_021560295.1,ncbi
GCF_900638715.1,ncbi
GCF_021052705.1,ncbi
GCF_021560215.1,ncbi
GCF_021560115.1,ncbi
GCF_020736125.1,ncbi
GCF_000195815.1,ncbi
GCF_000241875.1,ncbi
GCF_000255275.1,ncbi
GCF_000255175.1,ncbi
GCF_000241935.1,ncbi
GCF_000255195.1,ncbi
GCF_000242775.1,ncbi
GCF_000255155.1,ncbi
GCF_024968405.1,ncbi
GCF_024969465.1,ncbi
GCF_024968285.1,ncbi
GCF_024969365.1,ncbi
GCF_024969425.1,ncbi
GCF_000241915.1,ncbi
GCF_024969525.1,ncbi
GCF_024969485.1,ncbi
GCF_024969565.1,ncbi
GCF_024969505.1,ncbi
GCF_024969545.1,ncbi
GCF_024969445.1,ncbi
GCF_024968705.1,ncbi
GCF_024968525.1,ncbi
GCF_024968265.1,ncbi
GCF_024969205.1,ncbi
GCF_024968245.1,ncbi
GCF_000255215.1,ncbi
GCF_000255235.1,ncbi
GCF_000241895.1,ncbi
GCF_000255255.1,ncbi
GCF_014826095.1,ncbi
GCF_001867105.1,ncbi
GCF_001867025.1,ncbi
GCF_001867005.1,ncbi
GCF_001867085.1,ncbi
GCF_001867045.1,ncbi
GCF_001866985.1,ncbi
GCF_001867065.1,ncbi
GCF_001867165.1,ncbi
GCF_029674565.1,ncbi
GCF_001579925.1,ncbi
GCF_001969095.1,ncbi
GCF_026647995.1,ncbi
GCF_001579865.1,ncbi
GCF_026650725.1,ncbi
GCF_026650585.1,ncbi
GCF_026650845.1,ncbi
GCF_026650285.1,ncbi
GCF_026650325.1,ncbi
GCF_026650645.1,ncbi
GCF_026650805.1,ncbi
GCF_026650665.1,ncbi
GCF_026650465.1,ncbi
GCF_026740135.1,ncbi
GCF_026648075.1,ncbi
GCF_026648185.1,ncbi
GCF_026650445.1,ncbi
GCF_026650525.1,ncbi
GCF_026650565.1,ncbi
GCF_026650745.1,ncbi
GCF_026647725.1,ncbi
GCF_026650785.1,ncbi
GCF_026650765.1,ncbi
GCF_026650605.1,ncbi
GCF_026650265.1,ncbi
GCF_026650625.1,ncbi
GCF_026650425.1,ncbi
GCF_001579825.2,ncbi
GCF_026650825.1,ncbi
GCF_001889145.1,ncbi
GCF_024296985.1,ncbi
GCF_001969145.1,ncbi
GCF_026648355.1,ncbi
GCF_901482545.1,ncbi
GCF_009762695.1,ncbi
GCF_026650705.1,ncbi
GCF_001969085.2,ncbi
GCF_026650545.1,ncbi
GCF_026647855.1,ncbi
GCF_026648315.1,ncbi
GCF_026650405.1,ncbi
GCF_026648235.1,ncbi
GCF_026650365.1,ncbi
GCF_026648415.1,ncbi
GCF_026650305.1,ncbi
GCF_026650345.1,ncbi
GCF_026650385.1,ncbi
GCF_026650485.1,ncbi
GCF_001969165.3,ncbi
GCF_001922265.1,ncbi
GCF_001579885.2,ncbi
GCF_001186445.1,ncbi
GCF_001922285.1,ncbi
GCF_001867145.1,ncbi
GCF_001867125.1,ncbi
GCF_001047215.2,ncbi
GCF_026650685.1,ncbi
GCF_001682275.1,ncbi
GCF_009762635.1,ncbi
GCF_009905175.1,ncbi
GCF_002009385.1,ncbi
GCF_009762655.1,ncbi
GCF_002072715.1,ncbi
GCF_009791515.1,ncbi
GCF_009930775.1,ncbi
GCF_000730445.1,ncbi
GCF_008462025.1,ncbi
GCF_006974065.1,ncbi
GCF_006974085.1,ncbi
GCF_000730405.1,ncbi
GCF_000730365.1,ncbi
GCF_004332355.1,ncbi
GCF_004323775.1,ncbi
GCF_001989595.1,ncbi
GCF_009791415.1,ncbi
GCF_009789115.1,ncbi
GCF_009759745.1,ncbi
GCF_009789135.1,ncbi
GCF_001026945.2,ncbi
GCF_001456175.1,ncbi
GCF_004353245.1,ncbi
GCF_009759725.1,ncbi
GCF_006971425.1,ncbi
GCF_001447295.1,ncbi
GCF_000972805.1,ncbi
GCF_008461625.1,ncbi
GCF_008461845.1,ncbi
GCF_901482565.1,ncbi
GCF_002794435.1,ncbi
GCF_002869805.1,ncbi
GCF_004193655.1,ncbi
GCF_006971625.1,ncbi
GCF_004193635.1,ncbi
GCF_005341445.1,ncbi
GCF_004193955.1,ncbi
GCF_004295625.1,ncbi
GCF_004193695.1,ncbi
GCF_001653315.1,ncbi
GCF_001682255.2,ncbi
GCF_004332375.1,ncbi
GCF_002953235.1,ncbi
GCF_004323755.1,ncbi
GCF_003955905.1,ncbi
GCF_005341465.1,ncbi
GCF_006971065.1,ncbi
GCF_004941425.1,ncbi
GCF_002953315.1,ncbi
GCF_009759765.1,ncbi
GCF_006971245.1,ncbi
GCF_002953955.1,ncbi
GCF_004193675.1,ncbi
GCF_001481675.1,ncbi
GCF_004771435.1,ncbi
GCF_009759705.1,ncbi
GCF_001481715.1,ncbi
GCF_003955885.1,ncbi
GCF_002953275.1,ncbi
GCF_001017615.1,ncbi
GCF_001942005.2,ncbi
GCF_000814865.1,ncbi
GCF_002009415.1,ncbi
GCF_009905275.1,ncbi
GCF_001298505.1,ncbi
GCF_001975165.1,ncbi
GCF_001481755.1,ncbi
GCF_001653295.1,ncbi
GCF_001433475.1,ncbi
GCF_009762615.1,ncbi
GCF_001663495.1,ncbi
GCF_000263755.5,ncbi
GCF_000259155.4,ncbi
GCF_000265545.3,ncbi
GCF_000227605.3,ncbi
GCF_000248375.2,ncbi
GCF_000241855.1,ncbi
GCF_000255935.1,ncbi
GCF_000258385.1,ncbi
GCF_000227175.1,ncbi
GCF_000152065.3,ncbi
GCF_000144675.2,ncbi
GCF_000143705.2,ncbi
GCF_000221625.1,ncbi
GCF_000144935.2,ncbi
GCF_009002285.1,ncbi
GCF_008995395.1,ncbi
GCF_009789155.1,ncbi
GCF_030295465.1,ncbi
GCF_014792805.1,ncbi
GCF_000767645.1,ncbi
GCF_000767415.1,ncbi
GCF_001281445.1,ncbi
GCF_900475605.1,ncbi
GCF_000769635.1,ncbi
GCF_900475775.1,ncbi
GCF_900475635.1,ncbi
GCF_949127625.1,ncbi
GCF_000968945.1,ncbi
GCF_000767685.1,ncbi
GCF_000215665.1,ncbi
GCF_000306825.1,ncbi
GCF_000499805.2,ncbi
GCF_002804085.1,ncbi
GCF_002803965.1,ncbi
GCF_016889445.1,ncbi
GCF_002156805.1,ncbi
GCF_016728205.1,ncbi
GCF_002024345.1,ncbi
GCF_001561975.1,ncbi
GCF_016127615.1,ncbi
GCF_016026415.1,ncbi
GCF_016728745.1,ncbi
GCF_024722515.1,ncbi
GCF_029338415.1,ncbi
GCF_030506365.1,ncbi
GCF_030450175.1,ncbi
GCF_030450155.1,ncbi
GCF_030503735.1,ncbi
GCF_016127015.1,ncbi
GCF_030503715.1,ncbi
GCF_900477975.1,ncbi
GCF_009730475.1,ncbi
GCF_016889765.1,ncbi
GCF_016126915.1,ncbi
GCF_900637065.1,ncbi
GCF_002005245.1,ncbi
GCF_900638255.1,ncbi
GCF_001586215.1,ncbi
GCF_030408875.1,ncbi
GCF_030408895.1,ncbi
GCF_025643035.1,ncbi
GCF_024971975.1,ncbi
GCF_028583525.1,ncbi
GCF_025643075.1,ncbi
GCF_025643015.1,ncbi
GCF_025643055.1,ncbi
GCF_024971995.1,ncbi
GCF_019443945.1,ncbi
GCF_900475655.1,ncbi
GCF_000987865.1,ncbi
GCF_020097495.1,ncbi
GCF_030515895.1,ncbi
GCF_030516055.1,ncbi
GCF_016889785.1,ncbi
GCF_016127095.1,ncbi
GCF_000179395.2,ncbi
GCF_001683055.1,ncbi
GCF_023509275.1,ncbi
GCF_023509255.1,ncbi
GCF_023509295.1,ncbi
GCF_000338095.1,ncbi
GCF_030515855.1,ncbi
GCF_030408915.1,ncbi
GCF_020097655.1,ncbi
GCF_016628525.2,ncbi
GCF_028609825.1,ncbi
GCF_030515735.1,ncbi
GCF_023509315.1,ncbi
GCF_030515635.1,ncbi
GCF_016728625.1,ncbi
GCF_017638445.1,ncbi
GCF_003209395.1,ncbi
GCF_027886475.1,ncbi
GCF_030252185.1,ncbi
GCF_016889985.1,ncbi
GCF_030252165.1,ncbi
GCF_020614335.1,ncbi
GCF_020614295.1,ncbi
GCF_020614055.1,ncbi
GCF_020614175.1,ncbi
GCF_020614015.1,ncbi
GCF_000755185.1,ncbi
GCF_021496665.1,ncbi
GCF_900637815.1,ncbi
GCF_900637565.1,ncbi
GCF_900637825.1,ncbi
GCF_001767255.1,ncbi
GCF_030503655.1,ncbi
GCF_030503595.1,ncbi
GCF_007904105.1,ncbi
GCF_030503635.1,ncbi
GCF_016403285.1,ncbi
GCF_024138775.1,ncbi
GCF_900105305.1,ncbi
GCF_020736385.1,ncbi
GCF_004916775.1,ncbi
GCF_004916755.1,ncbi
GCF_013342965.1,ncbi
GCF_018361455.1,ncbi
GCF_016894245.1,ncbi
GCF_002214685.1,ncbi
GCF_016894265.1,ncbi
GCF_030515875.1,ncbi
GCF_030516125.1,ncbi
GCF_030516175.1,ncbi
GCF_030515925.1,ncbi
GCF_030515985.1,ncbi
GCF_030516195.1,ncbi
GCF_030516155.1,ncbi
GCF_030516215.1,ncbi
GCF_016403265.1,ncbi
GCF_030515655.1,ncbi
GCF_030515675.1,ncbi
GCF_030515775.1,ncbi
GCF_030515715.1,ncbi
GCF_030515795.1,ncbi
GCF_030515815.1,ncbi
GCF_030515835.1,ncbi
GCF_030515755.1,ncbi
GCF_030515695.1,ncbi
GCF_000146485.1,ncbi
GCF_011761195.1,ncbi
GCF_001913265.1,ncbi
GCF_003634885.1,ncbi
GCF_900447675.1,ncbi
GCF_006538485.1,ncbi
GCF_000159135.1,ncbi
GCF_014191555.1,ncbi
GCF_000183325.1,ncbi
GCF_013408445.1,ncbi
GCF_014335175.1,ncbi
GCF_900461185.1,ncbi
GCF_001999385.1,ncbi
GCF_000163435.1,ncbi
GCF_900156035.1,ncbi
GCF_000297795.2,ncbi
GCF_013410305.1,ncbi
GCF_000805675.1,ncbi
GCF_900447555.1,ncbi
GCF_000164115.1,ncbi
GCF_000174695.1,ncbi
GCF_001552415.1,ncbi
GCF_001552395.1,ncbi
GCF_002563965.1,ncbi
GCF_004382825.2,ncbi
GCF_016785885.1,ncbi
GCF_000767255.1,ncbi
GCF_017876455.1,ncbi
GCF_000213935.1,ncbi
GCF_001044155.1,ncbi
GCF_000420585.1,ncbi
GCF_900111265.1,ncbi
GCF_019633635.1,ncbi
GCF_900176155.1,ncbi
GCF_000373805.1,ncbi
GCF_000160795.1,ncbi
GCF_000159115.1,ncbi
GCF_000159595.1,ncbi
GCF_002273005.1,ncbi
GCF_008693105.1,ncbi
GCF_003688935.1,ncbi
GCF_008693095.1,ncbi
GCF_006539465.1,ncbi
GCF_003285565.1,ncbi
GCF_000577555.1,ncbi
GCF_000688435.1,ncbi
GCF_000372245.1,ncbi
GCF_000375525.1,ncbi
GCF_008693065.1,ncbi
GCF_023574125.1,ncbi
GCF_024160125.1,ncbi
GCF_014645275.1,ncbi
GCF_019754935.1,ncbi
GCF_016595275.2,ncbi
GCF_016595285.2,ncbi
GCF_016342275.1,ncbi
GCF_016342265.1,ncbi
GCF_014635485.1,ncbi
GCF_027257105.1,ncbi
GCF_014267325.1,ncbi
GCF_008931025.1,ncbi
GCF_008693075.1,ncbi
GCF_013601005.1,ncbi
GCF_009707995.1,ncbi
GCF_024160105.1,ncbi
GCF_011761285.1,ncbi
GCF_013014865.1,ncbi
GCF_007858655.1,ncbi
GCF_007858625.1,ncbi
GCF_007858715.1,ncbi
GCF_007858765.1,ncbi
GCF_007858735.1,ncbi
GCF_007858755.1,ncbi
GCF_007858595.1,ncbi
GCF_007858665.1,ncbi
GCF_007858685.1,ncbi
GCF_007858615.1,ncbi
GCF_001912755.2,ncbi
GCF_001912155.1,ncbi
GCF_001912725.1,ncbi
GCF_900163685.1,ncbi
GCF_015159635.1,ncbi
GCF_001912735.1,ncbi
GCF_013867935.1,ncbi
GCF_013867925.1,ncbi
GCF_013867825.1,ncbi
GCF_013868035.1,ncbi
GCF_013868025.1,ncbi
GCF_000819915.1,ncbi
GCF_013867915.1,ncbi
GCF_000934815.1,ncbi
GCF_001912805.1,ncbi
GCF_013867945.1,ncbi
GCF_013868015.1,ncbi
GCF_013867845.1,ncbi
GCF_013867955.1,ncbi
GCF_013867855.1,ncbi
GCF_002379385.1,ncbi
GCF_001912785.1,ncbi
GCF_002003445.1,ncbi
GCF_000233355.2,ncbi
GCF_003025195.1,ncbi
GCF_000224315.1,ncbi
GCF_000417765.1,ncbi
GCF_003046845.1,ncbi
GCF_002201055.1,ncbi
GCF_949152285.1,ncbi
GCF_002201085.1,ncbi
GCF_000968865.1,ncbi
GCF_002201135.1,ncbi
GCF_002213115.1,ncbi
GCF_002115215.1,ncbi
GCF_949152345.1,ncbi
GCF_949152355.1,ncbi
GCF_949152245.1,ncbi
GCF_949152305.1,ncbi
GCF_003004395.1,ncbi
GCF_025000165.1,ncbi
GCF_023652875.1,ncbi
GCF_023651985.1,ncbi
GCF_023651725.1,ncbi
GCF_023651885.1,ncbi
GCF_023651895.1,ncbi
GCF_023651875.1,ncbi
GCF_023651935.1,ncbi
GCF_023651975.1,ncbi
GCF_023652015.1,ncbi
GCF_023652025.1,ncbi
GCF_002115185.1,ncbi
GCF_903986535.1,ncbi
GCF_003003395.1,ncbi
